id,value
1,2362
2,2369
3,2375
4,2381
5,2381
6,2387
7,2387
8,2387
9,2394
10,2394
11,2400
12,2406
13,2406
14,2406
15,2412
16,2412
17,2412
18,2419
19,2412
20,2412
21,2419
22,2425
23,2425
24,2425
25,2425
26,2431
27,2425
28,2425
29,2431
30,2431
31,2437
32,2437
33,2437
34,2444
35,2444
36,2450
37,2444
38,2444
39,2444
40,2450
41,2450
42,2450
43,2450
44,2444
45,2450
46,2450
47,2450
48,2456
49,2456
50,2456
51,2456
52,2456
53,2456
54,2456
55,2462
56,2456
57,2462
58,2462
59,2462
60,2462
61,2456
62,2456
63,2462
64,2462
65,2462
66,2462
67,2469
68,2462
69,2462
70,2469
71,2462
72,2462
73,2469
74,2469
75,2469
76,2469
77,2469
78,2462
79,2469
80,2469
81,2469
82,2469
83,2462
84,2469
85,2462
86,2462
87,2469
88,2462
89,2469
90,2469
91,2469
92,2469
93,2469
94,2469
95,2475
96,2469
97,2475
98,2469
99,2469
100,2475
101,2469
102,2469
103,2462
104,2462
105,2469
106,2469
107,2469
108,2469
109,2469
110,2469
111,2469
112,2469
113,2475
114,2475
115,2475
116,2475
117,2475
118,2475
119,2475
120,2481
121,2481
122,2481
123,2475
124,2475
125,2481
126,2481
127,2481
128,2481
129,2481
130,2481
131,2481
132,2481
133,2481
134,2481
135,2487
136,2487
137,2487
138,2487
139,2494
140,2487
141,2487
142,2487
143,2487
144,2487
145,2487
146,2487
147,2487
148,2494
149,2494
150,2494
151,2487
152,2494
153,2500
154,2500
155,2494
156,2494
157,2494
158,2500
159,2500
160,2494
161,2487
162,2494
163,2500
164,2494
165,2494
166,2494
167,2494
168,2500
169,2494
170,2500
171,2500
172,2494
173,2494
174,2494
175,2494
176,2494
177,2494
178,2500
179,2494
180,2500
181,2500
182,2506
183,2500
184,2500
185,2500
186,2500
187,2506
188,2500
189,2500
190,2500
191,2500
192,2500
193,2506
194,2500
195,2506
196,2500
197,2500
198,2500
199,2500
200,2500
201,2500
202,2500
203,2500
204,2500
205,2500
206,2500
207,2500
208,2500
209,2500
210,2494
211,2494
212,2500
213,2494
214,2500
215,2500
216,2500
217,2500
218,2500
219,2500
220,2494
221,2500
222,2500
223,2500
224,2494
225,2500
226,2500
227,2500
228,2500
229,2506
230,2500
231,2506
232,2506
233,2506
234,2506
235,2506
236,2506
237,2512
238,2512
239,2512
240,2512
241,2512
242,2512
243,2512
244,2512
245,2519
246,2519
247,2519
248,2519
249,2519
250,2519
251,2519
252,2525
253,2519
254,2519
255,2525
256,2525
257,2525
258,2519
259,2519
260,2519
261,2525
262,2525
263,2525
264,2525
265,2525
266,2525
267,2525
268,2525
269,2525
270,2525
271,2525
272,2525
273,2531
274,2525
275,2531
276,2531
277,2531
278,2537
279,2537
280,2531
281,2537
282,2537
283,2544
284,2537
285,2537
286,2537
287,2544
288,2544
289,2544
290,2544
291,2550
292,2544
293,2544
294,2544
295,2544
296,2544
297,2550
298,2544
299,2544
300,2550
301,2550
302,2544
303,2550
304,2544
305,2550
306,2550
307,2550
308,2550
309,2550
310,2550
311,2550
312,2550
313,2550
314,2550
315,2544
316,2544
317,2544
318,2544
319,2544
320,2544
321,2544
322,2544
323,2556
324,2550
325,2550
326,2550
327,2550
328,2550
329,2544
330,2544
331,2544
332,2537
333,2544
334,2537
335,2544
336,2537
337,2537
338,2537
339,2537
340,2537
341,2537
342,2537
343,2537
344,2537
345,2531
346,2537
347,2537
348,2537
349,2537
350,2531
351,2531
352,2531
353,2531
354,2537
355,2537
356,2531
357,2537
358,2531
359,2537
360,2537
361,2531
362,2531
363,2531
364,2531
365,2537
366,2531
367,2537
368,2537
369,2531
370,2531
371,2537
372,2537
373,2537
374,2537
375,2537
376,2537
377,2537
378,2537
379,2537
380,2537
381,2531
382,2544
383,2537
384,2537
385,2537
386,2537
387,2531
388,2537
389,2537
390,2537
391,2531
392,2537
393,2537
394,2537
395,2531
396,2537
397,2537
398,2531
399,2525
400,2531
401,2531
402,2525
403,2531
404,2525
405,2531
406,2525
407,2531
408,2531
409,2531
410,2531
411,2531
412,2531
413,2537
414,2537
415,2537
416,2537
417,2537
418,2537
419,2537
420,2537
421,2537
422,2537
423,2537
424,2537
425,2537
426,2537
427,2537
428,2531
429,2537
430,2537
431,2537
432,2537
433,2537
434,2537
435,2537
436,2537
437,2537
438,2537
439,2531
440,2531
441,2537
442,2531
443,2531
444,2531
445,2531
446,2531
447,2531
448,2531
449,2531
450,2531
451,2531
452,2531
453,2525
454,2531
455,2525
456,2525
457,2525
458,2525
459,2525
460,2531
461,2525
462,2531
463,2525
464,2525
465,2525
466,2525
467,2525
468,2531
469,2531
470,2525
471,2525
472,2531
473,2525
474,2525
475,2525
476,2525
477,2531
478,2525
479,2525
480,2525
481,2525
482,2519
483,2519
484,2519
485,2519
486,2519
487,2525
488,2519
489,2525
490,2525
491,2525
492,2525
493,2525
494,2525
495,2525
496,2525
497,2525
498,2525
499,2525
500,2525
501,2525
502,2531
503,2531
504,2531
505,2531
506,2531
507,2531
508,2531
509,2537
510,2531
511,2537
512,2537
513,2531
514,2537
515,2531
516,2537
517,2544
518,2537
519,2537
520,2544
521,2544
522,2544
523,2544
524,2550
525,2550
526,2550
527,2556
528,2556
529,2556
530,2556
531,2556
532,2556
533,2562
534,2562
535,2569
536,2575
537,2625
538,2669
539,2706
540,2737
541,2756
542,2781
543,2806
544,2819
545,2837
546,2862
547,2837
548,2831
549,2856
550,2881
551,2906
552,2931
553,2950
554,2975
555,3006
556,3044
557,3100
558,3162
559,3238
560,3313
561,3400
562,3494
563,3588
564,3669
565,3756
566,3831
567,3906
568,3975
569,4038
570,4106
571,4169
572,4238
573,4300
574,4363
575,4425
576,4488
577,4544
578,4588
579,4644
580,4688
581,4738
582,4775
583,4800
584,4825
585,4844
586,4856
587,4863
588,4875
589,4875
590,4881
591,4888
592,4894
593,4900
594,4906
595,4919
596,4931
597,4938
598,4950
599,4956
600,4969
601,4975
602,4994
603,5000
604,5013
605,5019
606,5031
607,5038
608,5050
609,5056
610,5063
611,5075
612,5081
613,5094
614,5100
615,5119
616,5125
617,5138
618,5150
619,5163
620,5169
621,5181
622,5188
623,5200
624,5200
625,5206
626,5219
627,5231
628,5231
629,5244
630,5238
631,5231
632,5231
633,5219
634,5213
635,5194
636,5188
637,5181
638,5169
639,5156
640,5131
641,5125
642,5113
643,5106
644,5088
645,5081
646,5069
647,5050
648,5050
649,5056
650,5050
651,5044
652,5031
653,5025
654,5013
655,4994
656,4981
657,4969
658,4944
659,4931
660,4906
661,4469
662,5106
663,5763
664,4875
665,5281
666,5625
667,5638
668,5750
669,6213
670,6338
671,5938
672,5863
673,6063
674,5863
675,6637
676,7356
677,8069
678,8281
679,8631
680,9469
681,8150
682,8800
683,8987
684,9075
685,8994
686,8950
687,9000
688,8944
689,7881
690,8269
691,8131
692,8575
693,8806
694,8737
695,8900
696,8637
697,8112
698,7812
699,8012
700,8125
701,7944
702,7962
703,8275
704,8812
705,8869
706,8581
707,8681
708,8781
709,8494
710,8356
711,8544
712,8100
713,8262
714,8175
715,8381
716,8362
717,8081
718,8500
719,8212
720,8344
721,9244
722,9206
723,9262
724,9181
725,9169
726,9206
727,9156
728,8750
729,8675
730,8800
731,9100
732,9306
733,9000
734,8681
735,8931
736,9019
737,8856
738,8475
739,8000
740,7425
741,7031
742,6756
743,6500
744,6269
745,6069
746,5913
747,5763
748,5644
749,5531
750,5438
751,5356
752,5294
753,5238
754,5188
755,5144
756,5094
757,5050
758,5019
759,4988
760,4963
761,4931
762,4913
763,4894
764,4875
765,4863
766,4856
767,4844
768,4844
769,4831
770,4813
771,4806
772,4794
773,4781
774,4763
775,4750
776,4513
777,4300
778,4106
779,4075
780,4181
781,4313
782,4475
783,4638
784,4769
785,4888
786,4981
787,5063
788,5125
789,5206
790,5269
791,5313
792,5350
793,5375
794,5394
795,5419
796,5431
797,5450
798,5463
799,5469
800,5481
801,5500
802,5513
803,5525
804,5538
805,5544
806,5556
807,5563
