id,value
564,3669
575,4425
661,4469
662,5106
663,5763
664,4875
665,5281
666,5625
669,6213
671,5938
675,6637
676,7356
677,8069
679,8631
680,9469
681,8150
682,8800
689,7881
690,8269
692,8575
696,8637
697,8112
698,7812
700,8125
703,8275
704,8812
706,8581
709,8494
712,8100
717,8081
718,8500
719,8212
721,9244
728,8750
731,9100
733,9000
734,8681
736,9019
738,8475
739,8000
740,7425
741,7031
742,6756
743,6500
745,6069
747,5763
751,5356
777,4300
782,4475
785,4888
861,5494
863,5081
866,4706
1561,4281
1563,4750
1568,5250
1570,5506
1571,5856
1578,6487
1582,7144
1583,7475
1587,7594
1590,8494
1591,7162
1592,7956
1596,8425
1597,8881
1598,8475
1599,8856
1600,7862
1601,8225
1602,8906
1605,7619
1606,7125
1607,8762
1608,9550
1610,10075
1611,8300
1614,9575
1615,10244
1617,10119
1618,9544
1620,8937
1623,9612
1624,10106
1625,10419
1628,8562
1629,9731
1630,10194
1678,9900
1679,10581
1695,11287
