id,binary_value
1,00000000000000000000100100111010
2,00000000000000000000100101000001
3,00000000000000000000100101000111
4,00000000000000000000100101001101
5,00000000000000000000100101001101
6,00000000000000000000100101010011
7,00000000000000000000100101010011
8,00000000000000000000100101010011
9,00000000000000000000100101011010
10,00000000000000000000100101011010
11,00000000000000000000100101100000
12,00000000000000000000100101100110
13,00000000000000000000100101100110
14,00000000000000000000100101100110
15,00000000000000000000100101101100
16,00000000000000000000100101101100
17,00000000000000000000100101101100
18,00000000000000000000100101110011
19,00000000000000000000100101101100
20,00000000000000000000100101101100
21,00000000000000000000100101110011
22,00000000000000000000100101111001
23,00000000000000000000100101111001
24,00000000000000000000100101111001
25,00000000000000000000100101111001
26,00000000000000000000100101111111
27,00000000000000000000100101111001
28,00000000000000000000100101111001
29,00000000000000000000100101111111
30,00000000000000000000100101111111
31,00000000000000000000100110000101
32,00000000000000000000100110000101
33,00000000000000000000100110000101
34,00000000000000000000100110001100
35,00000000000000000000100110001100
36,00000000000000000000100110010010
37,00000000000000000000100110001100
38,00000000000000000000100110001100
39,00000000000000000000100110001100
40,00000000000000000000100110010010
41,00000000000000000000100110010010
42,00000000000000000000100110010010
43,00000000000000000000100110010010
44,00000000000000000000100110001100
45,00000000000000000000100110010010
46,00000000000000000000100110010010
47,00000000000000000000100110010010
48,00000000000000000000100110011000
49,00000000000000000000100110011000
50,00000000000000000000100110011000
51,00000000000000000000100110011000
52,00000000000000000000100110011000
53,00000000000000000000100110011000
54,00000000000000000000100110011000
55,00000000000000000000100110011110
56,00000000000000000000100110011000
57,00000000000000000000100110011110
58,00000000000000000000100110011110
59,00000000000000000000100110011110
60,00000000000000000000100110011110
61,00000000000000000000100110011000
62,00000000000000000000100110011000
63,00000000000000000000100110011110
64,00000000000000000000100110011110
65,00000000000000000000100110011110
66,00000000000000000000100110011110
67,00000000000000000000100110100101
68,00000000000000000000100110011110
69,00000000000000000000100110011110
70,00000000000000000000100110100101
71,00000000000000000000100110011110
72,00000000000000000000100110011110
73,00000000000000000000100110100101
74,00000000000000000000100110100101
75,00000000000000000000100110100101
76,00000000000000000000100110100101
77,00000000000000000000100110100101
78,00000000000000000000100110011110
79,00000000000000000000100110100101
80,00000000000000000000100110100101
81,00000000000000000000100110100101
82,00000000000000000000100110100101
83,00000000000000000000100110011110
84,00000000000000000000100110100101
85,00000000000000000000100110011110
86,00000000000000000000100110011110
87,00000000000000000000100110100101
88,00000000000000000000100110011110
89,00000000000000000000100110100101
90,00000000000000000000100110100101
91,00000000000000000000100110100101
92,00000000000000000000100110100101
93,00000000000000000000100110100101
94,00000000000000000000100110100101
95,00000000000000000000100110101011
96,00000000000000000000100110100101
97,00000000000000000000100110101011
