id,value
1,2734
2,2100
3,4688
4,2344
5,3027
6,3906
7,2148
8,2393
9,4346
10,2100
11,2295
12,2686
13,4541
14,2295
15,2393
16,4150
17,2344
18,2100
19,2051
20,2051
21,3857
22,2295
23,2246
24,2148
25,4395
26,2344
27,4541
28,3564
29,2051
30,4639
31,3760
32,4688
33,2197
34,2148
35,2295
36,4395
37,2197
38,2197
39,2295
40,4443
41,2148
42,2002
43,3613
44,2148
45,2100
46,2002
47,2100
48,2441
49,2246
50,2051
51,3271
52,2637
53,2148
54,3662
55,2637
56,2100
57,2148
58,4590
59,4199
60,3516
61,2148
62,3125
63,2051
64,2637
65,4785
66,2051
67,3271
68,4492
69,2051
70,3174
71,2490
72,3076
73,3076
74,3760
75,3076
76,3516
77,2051
78,2148
79,2441
80,4248
81,3809
82,2539
83,2246
84,2002
85,3662
86,4346
87,3271
88,2002
89,2002
90,3662
91,2930
92,2002
93,2246
94,2246
95,2002
96,2197
97,2148
98,2051
99,3955
100,2100
101,2344
102,3662
103,4346
104,2441
105,2197
106,3711
107,4639
108,2051
109,1953
110,2100
111,2100
112,2002
113,2637
114,3564
115,3320
116,3662
117,2148
118,2051
119,2783
120,2002
121,4590
122,2148
123,4150
124,4004
125,2148
126,2002
127,3906
128,2051
129,2002
130,2051
131,2344
132,2002
133,4395
134,2051
135,3320
136,4736
137,3418
138,3125
139,3711
140,2051
141,4150
142,2344
143,2588
144,2051
145,2148
146,2881
147,4150
148,2148
149,2051
150,2051
151,2246
152,4199
153,2490
154,2051
155,2246
156,2148
157,2441
158,2295
159,2051
160,2246
161,2441
162,2441
163,4736
164,2295
165,2100
166,2539
167,2197
168,2197
169,2393
170,2295
171,3223
172,4102
173,3320
174,3613
175,2197
176,2100
177,2246
178,2441
179,3760
180,2734
181,2197
182,2246
183,2441
184,2295
185,2588
186,2148
187,2197
188,3125
189,2148
190,3467
191,2539
192,2197
193,4492
194,2637
195,2979
196,2979
197,3857
198,2246
199,3223
200,2148
201,4541
202,2393
203,4639
204,2344
205,3613
206,2441
207,4443
208,2637
209,3271
210,3369
211,2148
212,2734
213,3711
214,2148
215,3906
216,2832
217,2246
218,2295
219,3467
220,3027
221,2588
222,2637
223,4492
224,2246
225,3320
226,2295
227,2246
228,3906
229,4492
230,4443
231,2295
232,3711
233,2588
234,3613
235,2295
236,2490
237,3467
238,2637
239,2490
240,2246
241,4639
242,2246
243,2246
244,3564
245,2246
246,2539
247,2393
248,2588
249,3369
250,2246
251,2246
252,2295
253,3027
254,3467
255,2344
256,2246
257,4395
258,2344
259,2637
260,2246
261,2295
262,2246
263,3271
264,2441
265,3369
266,2246
267,2246
268,2637
269,2246
270,4102
271,2344
272,2295
273,2246
274,2588
275,3467
276,4443
277,3125
278,4248
279,2295
280,2539
281,4102
282,3613
283,3662
284,2295
285,2246
286,4248
287,2832
288,3369
289,2344
290,2344
291,2588
292,2295
293,3125
294,2490
295,2246
296,2295
297,4150
298,3467
299,2734
300,2734
301,2686
302,2441
303,2539
304,4346
305,2441
306,2539
307,2490
308,4395
309,3906
310,2441
311,3955
312,4395
313,3467
314,2588
315,2393
316,3711
317,2539
318,3516
319,2539
320,2295
321,2295
322,4346
323,2344
324,2393
325,2539
326,2539
327,2441
328,4541
329,3320
330,2734
331,2246
332,4541
333,2832
334,2588
335,2295
336,3271
337,3223
338,2246
339,3711
340,2246
341,3418
342,4541
343,4150
344,2441
345,2539
346,2930
347,4004
348,2637
349,2539
350,2637
351,4639
352,2686
353,2344
354,2686
355,2344
356,2686
357,2539
358,3564
359,4248
360,4541
361,3906
362,3711
363,2588
364,2295
365,3564
366,2686
367,4395
368,3418
369,2295
370,2246
371,2490
372,2344
373,2441
374,2393
375,2686
376,3125
377,2637
378,2686
379,3369
380,2734
381,3809
382,2832
383,2441
384,2295
385,2295
386,2393
387,2539
388,2588
389,2686
390,2930
391,2393
392,2441
393,2783
394,2686
395,2295
396,2344
397,2686
398,3369
399,3174
400,3662
401,3809
402,2295
403,2344
404,2832
405,2734
406,2441
407,3467
408,2686
409,2393
410,2734
411,2490
412,2490
413,3271
414,4346
415,2295
416,2734
417,2295
418,2295
419,4492
420,3418
421,2588
422,2539
423,3125
424,2783
425,4395
426,2539
427,2393
428,2344
429,3662
430,2344
431,2490
432,2344
433,2588
434,2734
435,2344
436,2588
437,2295
438,2441
439,4199
440,2930
441,2295
442,2246
443,4639
444,4395
445,2295
446,2246
447,3955
448,3027
449,3320
450,2441
451,3857
452,4590
453,4346
454,3809
455,3955
456,2734
457,2295
458,3760
459,2246
460,3174
461,2441
462,4395
463,3076
464,2686
465,2344
466,3076
467,3467
468,4492
469,2930
470,2539
471,2393
472,2490
473,2393
474,2832
475,2295
476,3320
477,2295
478,2539
479,2295
480,3516
481,2393
482,3613
483,2246
484,2246
485,2393
486,2539
487,4150
488,3174
489,4346
490,2539
491,2295
492,2539
493,2637
494,2539
495,4297
496,2881
497,2734
498,3027
499,2441
500,2930
501,4248
502,3320
503,2295
504,2295
505,3662
506,2637
507,4199
508,2246
509,2295
510,4346
511,3760
512,2295
513,4150
514,2246
515,2686
516,4297
517,2393
518,3076
519,2441
520,2734
521,2539
522,2344
523,2734
524,2734
525,2490
526,2930
527,2832
528,2490
529,3711
530,3516
531,2197
532,2295
533,2637
534,4688
535,4541
536,2686
537,2344
538,2783
539,3467
540,2344
541,4297
542,3955
543,2344
544,2441
545,4053
546,2979
547,2979
548,2979
549,2979
550,2979
551,2979
552,2979
553,2979
554,2979
555,3027
556,2979
557,2979
558,2979
559,3027
560,3027
561,2979
562,3027
563,3027
564,3027
565,3027
566,3027
567,3027
568,3027
569,3027
570,3076
571,3076
572,3076
573,3027
574,3027
575,3076
576,3076
577,3027
578,3076
579,3076
580,3076
581,3027
582,3027
583,3027
584,3076
585,3076
586,3076
587,3076
588,3076
589,3076
590,3076
591,3076
592,3076
593,2832
594,3125
595,2588
596,2588
597,2734
598,2734
599,2783
600,3223
601,3174
602,4541
603,2832
604,3174
605,2734
606,2637
607,4297
608,3027
609,2881
610,2979
611,2930
612,3516
613,4932
614,4541
615,3125
616,2783
617,2686
618,3564
619,2588
620,2637
621,2588
622,3760
623,2637
624,4150
625,2637
626,2686
627,3711
628,2734
629,2686
630,2686
631,2832
632,3076
633,3125
634,2637
635,2832
636,3174
637,4297
638,3711
639,4346
640,3271
641,4297
642,2734
643,3125
644,4639
645,2783
646,2734
647,3027
648,4834
649,4785
650,2734
651,3760
652,4102
653,3223
654,3125
655,2881
656,2881
657,3174
658,2979
659,3662
660,2881
661,3125
662,2881
663,4102
664,3857
665,4395
666,3467
667,2783
668,3223
669,2881
670,3174
671,2930
672,3369
673,4492
674,2930
675,2930
676,2930
677,3369
678,3125
679,3271
680,3418
681,3320
682,3369
683,3125
684,4199
685,2979
686,3320
687,3369
688,3271
689,3076
690,3418
691,4980
692,3516
693,3223
694,4883
695,3174
696,3467
697,3564
698,3613
699,3613
700,3223
701,3564
702,3223
703,3271
704,3955
705,3174
706,3564
707,3711
708,3613
709,4004
710,3271
711,4248
712,3271
713,3076
714,4443
715,3369
716,3613
717,4639
718,2832
719,3418
720,2783
721,3027
722,3320
723,3271
724,3613
725,2832
726,2979
727,3027
728,3174
729,3955
730,3369
731,3125
732,3174
733,3369
734,3125
735,3076
736,4102
737,2832
738,2930
739,2783
740,3174
741,2832
742,3174
743,3223
744,3369
745,2734
746,3271
747,3467
748,3613
749,2783
750,3369
751,3027
752,2979
753,2832
754,3223
755,3369
756,2783
757,2783
758,3320
759,2832
760,2930
761,2783
762,3271
763,2832
764,2783
765,3760
766,3516
767,3369
768,3223
769,3271
770,3027
771,3906
772,3076
773,3271
774,2979
775,4004
776,3125
777,3174
778,3857
779,3223
780,4443
781,3076
782,3174
783,2881
784,3271
785,3125
786,3125
787,3076
788,3125
789,3125
790,2832
791,3418
792,2930
793,2979
794,3271
795,3125
796,2881
797,2832
798,4053
799,2930
800,3271
801,2930
802,2832
803,3174
804,4443
805,4492
806,2832
807,2881
808,3320
809,4053
810,3223
811,3369
812,2832
813,4639
814,2832
815,3076
816,2881
817,2979
818,3857
819,2881
820,4443
821,3418
822,3320
823,4590
824,3027
825,3174
826,4590
827,2881
828,2881
829,3076
830,2881
831,4053
832,3369
833,3125
834,3369
835,3320
836,3076
837,4541
838,2881
839,3320
840,3223
841,2930
842,2832
843,3174
844,3516
845,2832
846,4639
847,2832
848,2930
849,4346
850,2930
851,2930
852,3125
853,3369
854,2832
855,4639
856,2930
857,3027
858,2881
859,3662
860,3076
861,3027
862,3955
863,3613
864,3076
865,3369
866,4346
867,3760
868,3125
869,3076
870,4053
871,2930
872,3223
873,3711
874,3223
875,3369
876,4346
877,3223
878,2930
879,3906
880,3467
881,3320
882,3418
883,4150
884,3809
885,3125
886,4150
887,4297
888,3027
889,3564
890,3125
891,2930
892,3271
893,3027
894,3271
895,3174
896,3564
897,3564
898,4102
899,3320
900,3174
901,3320
902,3467
903,3271
904,3174
905,3711
906,3125
907,3467
908,3223
909,4590
910,4248
911,3320
912,3369
913,3223
914,4297
915,3223
916,3125
917,3174
918,3174
919,4199
920,3662
921,4102
922,3662
923,3223
924,3125
925,3613
926,3467
927,3271
928,3613
929,3711
930,3174
931,3516
932,4297
933,4395
934,3174
935,3662
936,3418
937,3223
938,3418
939,4492
940,4102
941,3516
942,3613
943,3857
944,3320
945,3467
946,3467
947,3809
948,4443
949,3125
950,3662
951,3271
952,3125
953,3564
954,3516
955,4541
956,4004
957,3125
958,3125
959,4590
960,3125
961,3174
962,3613
963,3564
964,3467
965,3613
966,3125
967,3369
968,4443
969,3320
970,3125
971,3125
972,3418
973,4541
974,3320
975,3320
976,3223
977,4053
978,3418
979,3564
980,3564
981,3369
982,3125
983,3125
984,3662
985,3320
986,4346
987,3174
988,3613
989,3662
990,4297
991,3076
992,4590
993,3174
994,3271
995,3271
996,3418
997,3174
998,3613
999,4102
1000,3369
1001,3418
1002,3271
1003,3320
1004,3076
1005,3613
1006,3223
1007,4395
1008,3076
1009,4395
1010,3076
1011,4199
1012,3223
1013,3711
1014,3662
1015,3369
1016,3955
1017,3906
1018,3564
1019,3613
1020,3418
1021,3613
1022,3369
1023,3125
1024,3174
1025,3125
1026,3125
1027,3125
1028,4346
1029,4004
1030,4395
1031,3418
1032,3809
1033,3467
1034,3662
1035,3125
1036,3125
1037,3174
1038,3174
1039,3711
1040,3125
1041,3662
1042,3125
1043,3564
1044,3320
1045,3125
1046,3906
1047,3613
1048,3125
1049,3320
1050,3125
1051,3613
1052,3223
1053,3613
1054,3223
1055,4541
1056,3271
1057,3516
1058,3857
1059,3564
1060,3613
1061,3320
1062,3857
1063,3467
1064,4395
1065,3320
1066,3174
1067,3320
1068,3564
1069,3564
1070,3125
1071,3125
1072,3125
1073,3369
1074,3125
1075,3418
1076,4346
1077,3125
1078,3516
1079,3613
1080,3174
1081,3125
1082,4346
1083,3271
1084,3613
1085,3320
1086,3125
1087,3418
1088,3809
1089,3613
1090,3369
1091,3613
1092,3125
1093,3125
1094,3223
1095,4248
1096,3125
1097,3711
1098,3174
1099,4443
1100,3711
1101,3174
1102,3564
1103,3711
1104,3223
1105,4150
1106,3271
1107,3320
1108,3369
1109,3613
1110,3613
1111,3760
1112,4492
1113,3174
1114,3955
1115,3174
1116,3711
1117,3320
1118,3223
1119,3516
1120,3711
1121,4297
1122,3564
1123,3271
1124,3174
1125,4053
1126,3613
1127,3271
1128,3174
1129,3857
1130,3418
1131,3223
1132,3760
1133,3271
1134,3516
1135,3809
1136,3320
1137,3174
1138,3564
1139,3955
1140,3955
1141,3418
1142,3369
1143,3955
1144,3223
1145,3418
1146,3955
1147,3467
1148,3467
1149,4297
1150,3760
1151,3613
1152,3467
1153,4053
1154,3369
1155,3906
1156,4541
1157,3271
1158,3271
1159,3564
1160,3467
1161,3369
1162,3418
1163,3467
1164,3662
1165,4102
1166,3760
1167,3662
1168,3662
1169,3662
1170,3613
1171,3174
1172,3223
1173,4199
1174,3711
1175,3467
1176,3320
1177,3223
1178,3223
1179,3467
1180,3271
1181,3369
1182,3223
1183,3564
1184,3760
1185,3711
1186,4150
1187,3223
1188,3613
1189,3467
1190,3613
1191,3320
1192,3467
1193,4492
1194,3223
1195,3564
1196,3613
1197,3564
1198,3467
1199,4541
1200,3320
1201,3369
1202,3320
1203,3369
1204,3467
1205,3369
1206,3467
1207,3857
1208,3271
1209,3467
1210,3516
1211,3760
1212,3174
1213,3418
1214,3613
1215,3955
1216,3613
1217,3857
1218,3174
1219,3271
1220,3125
1221,3271
1222,3418
1223,3467
1224,3174
1225,3174
1226,3174
1227,3223
1228,3174
1229,4492
1230,3223
1231,4102
1232,3418
1233,3271
1234,3418
1235,3711
1236,3223
1237,3320
1238,3662
1239,4102
1240,3223
1241,3223
1242,3613
1243,3223
1244,3662
1245,4395
1246,3711
1247,3271
1248,3564
1249,3174
1250,3711
1251,3174
1252,3320
1253,4443
1254,3711
1255,3369
1256,3857
1257,3223
1258,4297
1259,3467
1260,3418
1261,3271
1262,4102
1263,3418
1264,4199
1265,4004
1266,3418
1267,3223
1268,3516
1269,3711
1270,3418
1271,3271
1272,3369
1273,3516
1274,3760
1275,3223
1276,3174
1277,4199
1278,3516
1279,4053
1280,3711
1281,3271
1282,4297
1283,4053
1284,3613
1285,3174
1286,3613
1287,3271
1288,3418
1289,4297
1290,3418
1291,3662
1292,3857
1293,3467
1294,4053
1295,3613
1296,3174
1297,3125
1298,3662
1299,3809
1300,3516
1301,4541
1302,3418
1303,3271
1304,3125
1305,3418
1306,3320
1307,3320
1308,3516
1309,4004
1310,4102
1311,3564
1312,3711
1313,3174
1314,3564
1315,4102
1316,3711
1317,3320
1318,3516
1319,3369
1320,3223
1321,3564
1322,3711
1323,3320
1324,3857
1325,3711
1326,3760
1327,3320
1328,3174
1329,3564
1330,3125
1331,3174
1332,3662
1333,3174
1334,3418
1335,3369
1336,3711
1337,3418
1338,3223
1339,3418
1340,3857
1341,3516
1342,3906
1343,3857
1344,3223
1345,3320
1346,4004
1347,3662
1348,3369
1349,3223
1350,3125
1351,4443
