id,binary_value
1,00000000000000000000101010101110
2,00000000000000000000100000110100
3,00000000000000000001001001010000
4,00000000000000000000100100101000
5,00000000000000000000101111010011
6,00000000000000000000111101000010
7,00000000000000000000100001100100
8,00000000000000000000100101011001
9,00000000000000000001000011111010
10,00000000000000000000100000110100
11,00000000000000000000100011110111
12,00000000000000000000101001111110
13,00000000000000000001000110111101
14,00000000000000000000100011110111
15,00000000000000000000100101011001
16,00000000000000000001000000110110
17,00000000000000000000100100101000
18,00000000000000000000100000110100
19,00000000000000000000100000000011
20,00000000000000000000100000000011
21,00000000000000000000111100010001
22,00000000000000000000100011110111
23,00000000000000000000100011000110
24,00000000000000000000100001100100
25,00000000000000000001000100101011
26,00000000000000000000100100101000
27,00000000000000000001000110111101
28,00000000000000000000110111101100
29,00000000000000000000100000000011
30,00000000000000000001001000011111
31,00000000000000000000111010110000
32,00000000000000000001001001010000
33,00000000000000000000100010010101
34,00000000000000000000100001100100
35,00000000000000000000100011110111
36,00000000000000000001000100101011
37,00000000000000000000100010010101
38,00000000000000000000100010010101
39,00000000000000000000100011110111
40,00000000000000000001000101011011
41,00000000000000000000100001100100
42,00000000000000000000011111010010
43,00000000000000000000111000011101
44,00000000000000000000100001100100
45,00000000000000000000100000110100
46,00000000000000000000011111010010
47,00000000000000000000100000110100
48,00000000000000000000100110001001
49,00000000000000000000100011000110
50,00000000000000000000100000000011
51,00000000000000000000110011000111
52,00000000000000000000101001001101
53,00000000000000000000100001100100
54,00000000000000000000111001001110
55,00000000000000000000101001001101
56,00000000000000000000100000110100
57,00000000000000000000100001100100
58,00000000000000000001000111101110
59,00000000000000000001000001100111
60,00000000000000000000110110111100
61,00000000000000000000100001100100
62,00000000000000000000110000110101
63,00000000000000000000100000000011
64,00000000000000000000101001001101
65,00000000000000000001001010110001
66,00000000000000000000100000000011
67,00000000000000000000110011000111
68,00000000000000000001000110001100
69,00000000000000000000100000000011
70,00000000000000000000110001100110
71,00000000000000000000100110111010
72,00000000000000000000110000000100
73,00000000000000000000110000000100
74,00000000000000000000111010110000
75,00000000000000000000110000000100
76,00000000000000000000110110111100
77,00000000000000000000100000000011
78,00000000000000000000100001100100
79,00000000000000000000100110001001
80,00000000000000000001000010011000
81,00000000000000000000111011100001
82,00000000000000000000100111101011
83,00000000000000000000100011000110
84,00000000000000000000011111010010
85,00000000000000000000111001001110
86,00000000000000000001000011111010
87,00000000000000000000110011000111
88,00000000000000000000011111010010
89,00000000000000000000011111010010
90,00000000000000000000111001001110
91,00000000000000000000101101110010
92,00000000000000000000011111010010
93,00000000000000000000100011000110
94,00000000000000000000100011000110
95,00000000000000000000011111010010
96,00000000000000000000100010010101
97,00000000000000000000100001100100
98,00000000000000000000100000000011
99,00000000000000000000111101110011
100,00000000000000000000100000110100
101,00000000000000000000100100101000
102,00000000000000000000111001001110
103,00000000000000000001000011111010
104,00000000000000000000100110001001
105,00000000000000000000100010010101
106,00000000000000000000111001111111
107,00000000000000000001001000011111
108,00000000000000000000100000000011
109,00000000000000000000011110100001
110,00000000000000000000100000110100
111,00000000000000000000100000110100
112,00000000000000000000011111010010
113,00000000000000000000101001001101
114,00000000000000000000110111101100
115,00000000000000000000110011111000
116,00000000000000000000111001001110
117,00000000000000000000100001100100
118,00000000000000000000100000000011
119,00000000000000000000101011011111
120,00000000000000000000011111010010
121,00000000000000000001000111101110
122,00000000000000000000100001100100
123,00000000000000000001000000110110
124,00000000000000000000111110100100
125,00000000000000000000100001100100
126,00000000000000000000011111010010
127,00000000000000000000111101000010
128,00000000000000000000100000000011
129,00000000000000000000011111010010
130,00000000000000000000100000000011
131,00000000000000000000100100101000
132,00000000000000000000011111010010
133,00000000000000000001000100101011
