id,value
2,2100
3,4688
4,2344
5,3027
6,3906
7,2148
9,4346
10,2100
12,2686
13,4541
14,2295
16,4150
17,2344
21,3857
22,2295
25,4395
26,2344
27,4541
28,3564
29,2051
30,4639
31,3760
32,4688
33,2197
36,4395
37,2197
40,4443
41,2148
43,3613
44,2148
48,2441
50,2051
51,3271
52,2637
53,2148
54,3662
55,2637
56,2100
58,4590
59,4199
60,3516
61,2148
62,3125
63,2051
64,2637
65,4785
66,2051
67,3271
68,4492
69,2051
70,3174
71,2490
72,3076
74,3760
75,3076
76,3516
77,2051
79,2441
80,4248
81,3809
82,2539
83,2246
85,3662
86,4346
87,3271
88,2002
90,3662
91,2930
92,2002
99,3955
100,2100
102,3662
103,4346
104,2441
106,3711
107,4639
108,2051
113,2637
114,3564
116,3662
117,2148
119,2783
120,2002
121,4590
122,2148
123,4150
125,2148
127,3906
128,2051
131,2344
132,2002
133,4395
134,2051
135,3320
136,4736
137,3418
138,3125
139,3711
140,2051
141,4150
142,2344
144,2051
146,2881
147,4150
148,2148
152,4199
153,2490
154,2051
157,2441
159,2051
161,2441
163,4736
164,2295
166,2539
167,2197
171,3223
172,4102
173,3320
174,3613
175,2197
178,2441
179,3760
180,2734
181,2197
185,2588
186,2148
188,3125
189,2148
190,3467
191,2539
192,2197
193,4492
194,2637
195,2979
197,3857
198,2246
199,3223
200,2148
201,4541
202,2393
203,4639
204,2344
205,3613
206,2441
207,4443
208,2637
209,3271
211,2148
212,2734
213,3711
214,2148
215,3906
216,2832
217,2246
219,3467
220,3027
221,2588
223,4492
224,2246
225,3320
226,2295
228,3906
229,4492
231,2295
232,3711
233,2588
234,3613
235,2295
237,3467
238,2637
240,2246
241,4639
242,2246
244,3564
245,2246
246,2539
249,3369
250,2246
253,3027
254,3467
255,2344
257,4395
258,2344
259,2637
260,2246
263,3271
264,2441
265,3369
266,2246
268,2637
269,2246
270,4102
271,2344
274,2588
275,3467
276,4443
277,3125
278,4248
279,2295
281,4102
282,3613
284,2295
286,4248
287,2832
288,3369
289,2344
292,2295
293,3125
294,2490
297,4150
298,3467
299,2734
304,4346
305,2441
308,4395
309,3906
310,2441
311,3955
312,4395
313,3467
314,2588
316,3711
317,2539
318,3516
319,2539
322,4346
323,2344
328,4541
329,3320
330,2734
331,2246
332,4541
333,2832
335,2295
336,3271
338,2246
339,3711
340,2246
341,3418
342,4541
343,4150
344,2441
346,2930
347,4004
348,2637
351,4639
352,2686
353,2344
354,2686
355,2344
356,2686
358,3564
359,4248
360,4541
361,3906
363,2588
364,2295
365,3564
366,2686
367,4395
368,3418
369,2295
375,2686
376,3125
377,2637
379,3369
380,2734
381,3809
382,2832
383,2441
390,2930
391,2393
393,2783
395,2295
397,2686
398,3369
400,3662
402,2295
404,2832
406,2441
407,3467
408,2686
409,2393
410,2734
413,3271
414,4346
415,2295
416,2734
417,2295
419,4492
420,3418
421,2588
423,3125
424,2783
425,4395
426,2539
429,3662
430,2344
434,2734
435,2344
437,2295
439,4199
440,2930
441,2295
443,4639
445,2295
447,3955
448,3027
449,3320
450,2441
451,3857
452,4590
454,3809
456,2734
457,2295
458,3760
459,2246
460,3174
461,2441
462,4395
463,3076
464,2686
465,2344
466,3076
467,3467
468,4492
469,2930
470,2539
474,2832
475,2295
476,3320
477,2295
480,3516
481,2393
482,3613
483,2246
487,4150
488,3174
489,4346
490,2539
493,2637
495,4297
496,2881
498,3027
499,2441
500,2930
501,4248
502,3320
503,2295
505,3662
506,2637
507,4199
508,2246
510,4346
511,3760
512,2295
513,4150
514,2246
515,2686
516,4297
517,2393
518,3076
519,2441
520,2734
522,2344
523,2734
526,2930
528,2490
529,3711
531,2197
533,2637
534,4688
536,2686
537,2344
538,2783
539,3467
540,2344
541,4297
542,3955
543,2344
545,4053
546,2979
594,3125
595,2588
600,3223
602,4541
603,2832
604,3174
605,2734
607,4297
608,3027
612,3516
613,4932
614,4541
615,3125
616,2783
618,3564
619,2588
622,3760
623,2637
624,4150
625,2637
627,3711
628,2734
632,3076
634,2637
636,3174
637,4297
638,3711
639,4346
640,3271
641,4297
642,2734
643,3125
644,4639
645,2783
647,3027
648,4834
650,2734
651,3760
652,4102
653,3223
655,2881
657,3174
659,3662
660,2881
663,4102
665,4395
666,3467
667,2783
668,3223
669,2881
670,3174
672,3369
673,4492
674,2930
677,3369
684,4199
685,2979
686,3320
690,3418
691,4980
692,3516
693,3223
694,4883
695,3174
696,3467
700,3223
701,3564
702,3223
704,3955
705,3174
706,3564
709,4004
710,3271
711,4248
712,3271
714,4443
715,3369
717,4639
718,2832
719,3418
720,2783
722,3320
724,3613
725,2832
729,3955
730,3369
736,4102
737,2832
740,3174
741,2832
742,3174
745,2734
746,3271
748,3613
749,2783
750,3369
751,3027
754,3223
756,2783
758,3320
759,2832
762,3271
763,2832
765,3760
767,3369
771,3906
772,3076
774,2979
775,4004
776,3125
778,3857
779,3223
780,4443
781,3076
783,2881
784,3271
790,2832
791,3418
792,2930
794,3271
796,2881
798,4053
799,2930
800,3271
801,2930
803,3174
804,4443
806,2832
808,3320
809,4053
810,3223
812,2832
813,4639
814,2832
818,3857
819,2881
820,4443
821,3418
823,4590
824,3027
826,4590
827,2881
831,4053
832,3369
837,4541
838,2881
839,3320
841,2930
843,3174
844,3516
845,2832
846,4639
847,2832
849,4346
850,2930
853,3369
854,2832
855,4639
856,2930
859,3662
860,3076
862,3955
863,3613
864,3076
865,3369
