id,value
1,2373
2,2383
3,2393
4,2393
5,2393
6,2383
7,2403
8,2403
9,2403
10,2413
11,2423
12,2443
13,2433
14,2423
15,2423
16,2433
17,2413
18,2433
19,2433
20,2433
21,2453
22,2453
23,2443
24,2433
25,2433
26,2433
27,2433
28,2423
29,2443
30,2433
31,2433
32,2433
33,2443
34,2443
35,2443
36,2453
37,2463
38,2463
39,2453
40,2443
41,2443
42,2463
43,2463
44,2463
45,2453
46,2443
47,2453
48,2443
49,2443
50,2443
51,2443
52,2433
53,2433
54,2433
55,2433
56,2443
57,2453
58,2453
59,2443
60,2433
61,2433
62,2433
63,2443
64,2443
65,2473
66,2473
67,2443
68,2443
69,2433
70,2473
71,2443
72,2433
73,2443
74,2423
75,2463
76,2453
77,2443
78,2423
79,2453
80,2473
81,2423
82,2383
83,2393
84,2413
85,2403
86,2403
87,2383
88,2383
89,2403
90,2433
91,2423
92,2433
93,2423
94,2413
95,2433
96,2433
97,2443
98,2443
99,2453
100,2423
101,2363
102,2363
103,2423
104,2393
105,2413
106,2433
107,2453
108,2443
109,2453
110,2453
111,2443
112,2443
113,2443
114,2463
115,2443
116,2453
117,2453
118,2453
119,2443
120,2433
121,2443
122,2413
123,2443
124,2453
125,2443
126,2443
127,2433
128,2433
129,2413
130,2443
131,2453
132,2423
133,2433
134,2423
135,2463
136,2453
137,2433
138,2463
139,2443
140,2433
141,2453
142,2443
143,2463
144,2463
145,2453
146,2453
147,2463
148,2453
149,2453
150,2443
151,2433
152,2433
153,2463
154,2453
155,2453
156,2453
157,2443
158,2453
159,2453
160,2443
161,2453
162,2463
163,2453
164,2433
165,2433
166,2413
167,2433
168,2413
169,2403
170,2413
171,2433
172,2423
173,2413
174,2413
175,2453
176,2463
177,2463
178,2463
179,2453
180,2483
181,2463
182,2473
183,2473
184,2413
185,2433
186,2453
187,2473
188,2453
189,2433
190,2423
191,2433
192,2443
193,2443
194,2453
195,2473
196,2453
197,2453
198,2453
199,2473
200,2473
201,2473
202,2473
203,2463
204,2453
205,2453
206,2463
207,2473
208,2473
209,2463
210,2473
211,2493
212,2463
213,2453
214,2463
215,2473
216,2473
217,2473
218,2463
219,2463
220,2443
221,2463
222,2453
223,2463
224,2473
225,2443
226,2463
227,2453
228,2453
229,2443
230,2443
231,2443
232,2453
233,2463
234,2473
235,2473
236,2453
237,2453
238,2463
239,2453
240,2463
241,2463
242,2473
243,2463
244,2443
245,2453
246,2463
247,2473
248,2473
249,2463
250,2453
251,2453
252,2473
253,2483
254,2473
255,2463
256,2473
257,2473
258,2483
259,2483
260,2493
261,2473
262,2483
263,2483
264,2473
265,2483
266,2473
267,2483
268,2473
269,2463
270,2483
271,2463
272,2483
273,2483
274,2473
275,2483
276,2473
277,2483
278,2473
279,2473
280,2473
281,2473
282,2463
283,2473
284,2463
285,2473
286,2453
287,2463
288,2463
289,2463
290,2463
291,2473
292,2463
293,2463
294,2463
295,2453
296,2453
297,2453
298,2463
299,2483
300,2473
301,2473
302,2463
303,2453
304,2473
305,2463
306,2463
307,2483
308,2473
309,2463
310,2463
311,2443
312,2443
313,2443
314,2433
315,2443
316,2443
317,2463
318,2463
319,2463
320,2463
321,2453
322,2453
323,2453
324,2473
325,2453
326,2453
327,2443
328,2443
329,2453
330,2443
331,2413
332,2443
333,2453
334,2463
335,2453
336,2443
337,2423
338,2443
339,2463
340,2463
341,2453
342,2443
343,2443
344,2433
345,2453
346,2453
347,2453
348,2443
349,2443
350,2443
351,2443
352,2443
353,2423
354,2433
355,2443
356,2423
357,2423
358,2433
359,2433
360,2413
361,2413
362,2443
363,2433
364,2423
365,2423
366,2433
367,2443
368,2443
369,2403
370,2423
371,2413
372,2393
373,2403
374,2423
375,2413
376,2433
377,2423
378,2443
379,2453
380,2453
381,2443
382,2433
383,2443
384,2453
385,2463
386,2443
387,2423
388,2403
389,2393
390,2433
391,2443
392,2433
393,2443
394,2423
395,2443
396,2423
397,2403
398,2383
399,2403
400,2413
401,2413
402,2403
403,2423
404,2423
405,2443
406,2473
407,2463
408,2453
409,2443
410,2453
411,2453
412,2453
413,2453
414,2453
415,2453
416,2453
417,2473
418,2453
419,2443
420,2453
421,2443
422,2433
423,2413
424,2433
425,2463
426,2443
427,2443
428,2433
429,2443
430,2443
431,2433
432,2443
433,2443
434,2453
435,2453
436,2453
437,2433
438,2443
439,2443
440,2453
441,2443
442,2443
443,2433
444,2433
445,2433
446,2453
447,2403
448,2413
449,2433
450,2443
451,2433
452,2453
453,2433
454,2423
455,2433
456,2433
457,2433
458,2423
459,2413
460,2453
461,2433
462,2403
463,2403
464,2433
465,2433
466,2423
467,2443
468,2433
469,2423
470,2413
471,2433
472,2413
473,2433
474,2413
475,2443
476,2453
477,2443
478,2433
479,2443
480,2403
481,2433
482,2413
483,2413
484,2413
485,2463
486,2453
487,2453
488,2443
489,2423
490,2403
491,2403
492,2373
493,2403
494,2453
495,2443
496,2413
497,2443
498,2453
499,2453
500,2433
501,2413
502,2463
503,2463
504,2473
505,2473
506,2483
