id,binary_value
1,00000000000000000000100101000101
2,00000000000000000000100101001111
3,00000000000000000000100101011001
4,00000000000000000000100101011001
5,00000000000000000000100101011001
6,00000000000000000000100101001111
7,00000000000000000000100101100011
8,00000000000000000000100101100011
9,00000000000000000000100101100011
10,00000000000000000000100101101101
11,00000000000000000000100101110111
12,00000000000000000000100110001011
13,00000000000000000000100110000001
14,00000000000000000000100101110111
15,00000000000000000000100101110111
16,00000000000000000000100110000001
17,00000000000000000000100101101101
18,00000000000000000000100110000001
19,00000000000000000000100110000001
20,00000000000000000000100110000001
21,00000000000000000000100110010101
22,00000000000000000000100110010101
23,00000000000000000000100110001011
24,00000000000000000000100110000001
25,00000000000000000000100110000001
26,00000000000000000000100110000001
27,00000000000000000000100110000001
28,00000000000000000000100101110111
29,00000000000000000000100110001011
30,00000000000000000000100110000001
31,00000000000000000000100110000001
32,00000000000000000000100110000001
33,00000000000000000000100110001011
34,00000000000000000000100110001011
35,00000000000000000000100110001011
36,00000000000000000000100110010101
37,00000000000000000000100110011111
38,00000000000000000000100110011111
39,00000000000000000000100110010101
40,00000000000000000000100110001011
41,00000000000000000000100110001011
42,00000000000000000000100110011111
43,00000000000000000000100110011111
44,00000000000000000000100110011111
45,00000000000000000000100110010101
46,00000000000000000000100110001011
47,00000000000000000000100110010101
48,00000000000000000000100110001011
49,00000000000000000000100110001011
50,00000000000000000000100110001011
51,00000000000000000000100110001011
52,00000000000000000000100110000001
53,00000000000000000000100110000001
54,00000000000000000000100110000001
55,00000000000000000000100110000001
56,00000000000000000000100110001011
57,00000000000000000000100110010101
58,00000000000000000000100110010101
59,00000000000000000000100110001011
60,00000000000000000000100110000001
61,00000000000000000000100110000001
62,00000000000000000000100110000001
63,00000000000000000000100110001011
64,00000000000000000000100110001011
65,00000000000000000000100110101001
66,00000000000000000000100110101001
67,00000000000000000000100110001011
68,00000000000000000000100110001011
69,00000000000000000000100110000001
70,00000000000000000000100110101001
71,00000000000000000000100110001011
72,00000000000000000000100110000001
73,00000000000000000000100110001011
74,00000000000000000000100101110111
75,00000000000000000000100110011111
76,00000000000000000000100110010101
77,00000000000000000000100110001011
78,00000000000000000000100101110111
79,00000000000000000000100110010101
80,00000000000000000000100110101001
81,00000000000000000000100101110111
82,00000000000000000000100101001111
83,00000000000000000000100101011001
84,00000000000000000000100101101101
85,00000000000000000000100101100011
86,00000000000000000000100101100011
87,00000000000000000000100101001111
88,00000000000000000000100101001111
89,00000000000000000000100101100011
90,00000000000000000000100110000001
91,00000000000000000000100101110111
92,00000000000000000000100110000001
93,00000000000000000000100101110111
94,00000000000000000000100101101101
95,00000000000000000000100110000001
96,00000000000000000000100110000001
97,00000000000000000000100110001011
98,00000000000000000000100110001011
99,00000000000000000000100110010101
100,00000000000000000000100101110111
101,00000000000000000000100100111011
102,00000000000000000000100100111011
103,00000000000000000000100101110111
104,00000000000000000000100101011001
